 Название вакансии; , URL; , Название Компании; , Описание; 
Администратор сервера приложений ; ,https://krasnodar.hh.ru/vacancy/35832183?query=Python ; ,ПАО Ростелеком ; ,Поддержка систем мониторинга. Конфигурация серверного ПО. Поддержка внутренних пользователей системы (поддержка работоспособности системы по обращениям). Обновления поддерживаемых систем. ; 
;;;;
Инженер технической поддержки / DevOps инженер ; ,https://krasnodar.hh.ru/vacancy/35571486?query=Python ; ,ООО Медиа-тел ;" ,""Исследование и решение проблем, возникающих в процессе поддержки высоконагруженных, отказоустойчивых телекоммуникационных решений с высокой доступностью. Написание релизов для деплоя ПО.  ";" """
;;;;
DevOps Engineer (DevOps инженер) Москва ; ,https://krasnodar.hh.ru/vacancy/35805172?query=Python ; , DriverPack Solution ; ,Нужно помочь разработчикам настроить цикл CI/CD для новых проектов. Тут придётся потрудиться: подумать над конфигурацией linux-серверов и сети... ; 
;;;;
"Senior Python (Team Lead) Developer, Global Recorded Music Company ; ,https://krasnodar.hh.ru/vacancy/35495274?query=Python "; , DataArt ;" ,""О работе. Планируется расширение команды и рост проектов компании. На очереди разработка инструментов процессинга новых исполнителей и треков, управление лицензиями... ";" """;
;;;;
Прикладной администратор (Единой Интеграционной Платформы) ; ,https://krasnodar.hh.ru/vacancy/34751402?query=Python ; ,ПАО Ростелеком ;" ,""Прием и обработка инцидентов на 2-ой линии технической поддержки, первичная диагностика инцидентов. Консультирование пользователей по вопросам функционирования интеграционных решений.  ";" """
;;;;
DevOps Engineer (IoT Platform ) ; ,https://krasnodar.hh.ru/vacancy/35132838?query=Python ; , DataArt ;" ,""Увеличение времени безотказной работы и доступности системы, обеспечение функционирования и оптимальной производительности по SLA. Организация сквозного мониторинга и оповещений по... ";" """
;;;;
Программист MQL ; ,https://krasnodar.hh.ru/vacancy/35792688?query=Python ; ,ООО Инста ;" ,""Работа с индикаторами графических фигур (Pattern Graphix). Интеграция скриптов с внутренними и внешними системами на C#, C++, Python, PHP. ";" """
;;;;
DevOps администратор ; ,https://krasnodar.hh.ru/vacancy/32855588?query=Python ; , LORUS SCM ;" ,""Конфигурация, настройка и Поддержка инфраструктуры в облачных сервисах (Яндекс, Mail.ru). Мониторинг состояния серверов ИТ систем и реагирование на инциденты.  ";" """
;;;;
Ведущий системный администратор ; ,https://krasnodar.hh.ru/vacancy/35588451?query=Python ; ,ООО ТЭКАР ; ,Автоматизация управления инфраструктурой в соответствии с подходом «инфраструктура как код». Администрирование серверов на Windows и Linux посредством Ansible.  ; 
;;;;
"Backend-разработчик (PHP, Node.js, Go, Python) ; ,https://krasnodar.hh.ru/vacancy/35756276?query=Python "; , kt.team ;" ,""Разрабатывать высоконагруженные ecommerce, B2B проекты. Разрабатывать REST и GraphQL API на Magento и Akeneo, Bitrix для сервисов и... ";" """;
;;;;
Инженер технической поддержки ; ,https://krasnodar.hh.ru/vacancy/35671831?query=Python ; , FinFort ; ,...разработчиками по пользовательским проблемам. - Помощь в воспроизведении пользовательских проблем для дальнейшей правки. - Поддержка типовых скриптов импорта / экспорта данных на Python. ; 
;;;;
Python developer ; ,https://krasnodar.hh.ru/vacancy/35833786?query=Python ; ,ИП Черкасов Константин Юрьевич ; , ; 
;;;;
